lucode,LULC_name,C_above,C_below,C_soil,C_dead
111,HighDensityUrban,0,0,0,0
112,MediumDensityUrban,0,0,0,0
121,IndustrialCommercialUnits,0,0,0,0
1211,IndustrialCommercialUnits,0,0,0,0
122,RoadRailNetwork,0,0,0,0
123,Port,0,0,0,0
124,Airport,0,0,0,0
1241,Airport,0,0,0,0
125,ArtificialSurface,0,0,0,0
131,MineralExtraction,0,0,0,0
1312,MineralExtraction,0,0,0,0
1313,MineralExtraction,0,0,0,0
1315,MineralExtraction,0,0,0,0
1316,MineralExtraction,0,0,0,0
132,Dump,0,0,0,0
141,GreenUrbanArea,1,0,0,0
1411,GreenUrbanArea,1,0,0,0
1412,GreenUrbanArea,1,0,0,0
142,SportLeisureFacility,1,0,0,0
1422,SportLeisureFacility,1,0,0,0
1423,SportLeisureFacility,1,0,0,0
211,ArableLand,5,0,0,0
212,ArableLand,5,0,0,0
2121,RiceField,5,0,0,0
2122,ArableLand,5,0,0,0
2131,ArableLand,5,0,0,0
214,ArableLand,5,0,0,0
2141,ArableLand,5,0,0,0
2142,ArableLand,5,0,0,0
215,ArableLand,5,0,0,0
2151,ArableLand,5,0,0,0
221,PermanentCropland,5,0,0,0
2211,PermanentCropland,5,0,0,0
2212,Sugarcane,5,0,0,0
22121,Sugarcane,5,0,0,0
22122,Sugarcane,5,0,0,0
2213,Banana,5,0,0,0
222,PermanentCropland,5,0,0,0
2221,PermanentCropland,5,0,0,0
2222,Coffee,5,0,0,0
2223,Cacao,5,0,0,0
223,PermanentCropland,5,0,0,0
2231,PermanentCropland,5,0,0,0
2232,OilPalmPlantation,5,0,0,0
2234,Mango,5,0,0,0
224,AgroForestryLand,71,0,0,0
225,ArtificialSurface,0,0,0,0
231,Pastureland,4.5,0,0,0
232,Pastureland,4.5,0,0,0
233,Pastureland,4.5,0,0,0
241,ComplexCultivationPatternedLand,71,0,0,0
242,ComplexCultivationPatternedLand,71,0,0,0
243,AgriculturalLandWithNaturalVegetation,71,0,0,0
244,AgriculturalLandWithNaturalVegetation,71,0,0,0
245,AgriculturalLandWithNaturalVegetation,71,0,0,0
3111,Forest ,169,0,0,0
31111,Forest ,169,0,0,0
31112,InlandForestedWetland,157,0,0,0
311121,InlandForestedWetland,157,0,0,0
311122,Mangrove,157,0,0,0
311123,PalmSwamp,157,0,0,0
3112,Forest ,169,0,0,0
31121,Forest ,169,0,0,0
31122,InlandForestedWetland,157,0,0,0
312,Forest ,169,0,0,0
31211,Forest ,169,0,0,0
31212,InlandForestedWetland,157,0,0,0
31221,Forest ,169,0,0,0
31222,InlandForestedWetland,157,0,0,0
313,AgriculturalLandWithNaturalVegetation,71,0,0,0
3131,AgriculturalLandWithNaturalVegetation,71,0,0,0
3132,AgriculturalLandWithNaturalVegetation,71,0,0,0
314,Forest ,169,0,0,0
315,ForestPlantation,71,0,0,0
3151,ForestPlantation,71,0,0,0
3152,ForestPlantation,71,0,0,0
3211,Grassland,4.5,0,0,0
32111,Grassland,4.5,0,0,0
321111,Grassland,4.5,0,0,0
321112,OpenSavanna,58,0,0,0
321113,MoorAndHeathland,52,0,0,0
32112,InlandMarsh,52,0,0,0
321121,InlandMarsh,52,0,0,0
321122,InlandMarsh,52,0,0,0
321123,VegetatedStillWaterBody,52,0,0,0
3212,SparseHerbaceousCover,2.5,0,0,0
32121,SparseHerbaceousCover,2.5,0,0,0
32122,SparseHerbaceousCover,2.5,0,0,0
3221,Shrubland,52,0,0,0
3222,SparseShrubCover,2.5,0,0,0
32221,SclerophyllousVegetation,52,0,0,0
32222,MoorAndHeathland,52,0,0,0
323,EarlySuccession Forest,72,0,0,0
3231,PoleSuccession Forest,72,0,0,0
3232,EarlySuccession Forest,72,0,0,0
331,BeachDuneAndSand,1,0,0,0
3311,BeachDuneAndSand,1,0,0,0
3312,BeachDuneAndSand,1,0,0,0
3313,BeachDuneAndSand,1,0,0,0
332,BareRock,1,0,0,0
333,SparseVegetation,2.5,0,0,0
334,BurnedLand,1,0,0,0
335,GlacierAndPerpetualSnow,0,0,0,0
3352,GlacierAndPerpetualSnow,0,0,0,0
411,InlandMarsh,52,0,0,0
412,PeatBog,52,0,0,0
413,VegetatedStillWaterBody,52,0,0,0
421,SaltMarsh,52,0,0,0
422,Saline,1,0,0,0
423,IntertidalFlat,1,0,0,0
511,Watercourse,0,0,0,0
512,StillWaterBody,0,0,0,0
513,StillWaterBody,0,0,0,0
514,StillWaterBody,0,0,0,0
5141,StillWaterBody,0,0,0,0
5142,StillWaterBody,0,0,0,0
5143,InlandWaterBody,0,0,0,0
521,CoastalLagoon,0,0,0,0
522,SeaAndOcean,0,0,0,0
523,MarineWaterBody,0,0,0,0
99,NoData,0,0,0,0
