lucode,LULC_desc,load_n,load_p,eff_n,eff_p,crit_len_n,crit_len_p,proportion_subsurface_n,,,,,,, 
111,HighDensityUrban,7,2,0.05,0.52,150,150,0,,,,,,,
112,MediumDensityUrban,7,2,0.05,0.52,150,150,0,,,,,,,
121,IndustrialCommercialUnits,7,2,0.05,0.52,150,150,0,,,,,,,
1211,IndustrialCommercialUnits,7,2,0.05,0.52,150,150,0,,,,,,,
122,RoadRailNetwork,7,2,0.05,0.52,150,150,0,,,,,,,
123,Port,7,2,0.05,0.52,150,150,0,,,,,,,
124,Airport,7,2,0.05,0.52,150,150,0,,,,,,,
1241,Airport,7,2,0.05,0.52,150,150,0,,,,,,,
125,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
131,MineralExtraction,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
1312,MineralExtraction,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
1313,MineralExtraction,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
1315,MineralExtraction,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
1316,MineralExtraction,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
132,Dump,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
141,GreenUrbanArea,7,2,0.05,0.52,150,150,0,,,,,,,
1411,GreenUrbanArea,7,2,0.05,0.52,150,150,0,,,,,,,
1412,GreenUrbanArea,7,2,0.05,0.52,150,150,0,,,,,,,
142,SportLeisureFacility,7,2,0.05,0.52,150,150,0,,,,,,,
1422,SportLeisureFacility,7,2,0.05,0.52,150,150,0,,,,,,,
1423,SportLeisureFacility,7,2,0.05,0.52,150,150,0,,,,,,,
211,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
212,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2121,RiceField,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2122,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2131,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
214,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2141,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2142,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
215,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2151,ArableLand,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
221,PermanentCropland,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2211,PermanentCropland,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2212,Sugarcane,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
22121,Sugarcane,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
22122,Sugarcane,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2213,Banana,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
222,PermanentCropland,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2221,PermanentCropland,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2222,Coffee,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2223,Cacao,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
223,PermanentCropland,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2231,PermanentCropland,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2232,OilPalmPlantation,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
2234,Mango,160.03,57.81,0.25,0.74,150,150,0,,,,,,,
224,AgroForestryLand,35.5,12.8,0.25,0.87,150,150,0,,,,,,,
225,ArtificialSurface,7,2,0.05,0.52,150,150,0,,,,,,,
231,Pastureland,17.4,0.4,0.4,0.5,150,150,0,,,,,,,
232,Pastureland,17.4,0.1,0.6,0.5,150,150,0,,,,,,,
233,Pastureland,17.4,0.6,0.3,0.05,150,150,0,,,,,,,
241,ComplexCultivationPatternedLand,106.7,38.6,0.25,0.87,150,150,0,,,,,,,
242,ComplexCultivationPatternedLand,106.7,38.6,0.25,0.87,150,150,0,,,,,,,
243,AgriculturalLandWithNaturalVegetation,35.5,12.8,0.25,0.87,150,150,0,,,,,,,
244,AgriculturalLandWithNaturalVegetation,35.5,12.8,0.25,0.87,150,150,0,,,,,,,
245,AgriculturalLandWithNaturalVegetation,35.5,12.8,0.25,0.87,150,150,0,,,,,,,
3111,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
31111,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
31112,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
311121,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
311122,Mangrove,5,1.9,0.8,0.4,150,150,0,,,,,,,
311123,PalmSwamp,5,1.9,0.8,0.4,150,150,0,,,,,,,
3112,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
31121,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
31122,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
312,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
31211,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
31212,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
31221,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
31222,InlandForestedWetland,5,1.9,0.8,0.4,150,150,0,,,,,,,
313,AgriculturalLandWithNaturalVegetation,35.5,12.8,0.25,0.87,150,150,0,,,,,,,
3131,AgriculturalLandWithNaturalVegetation,35.5,12.8,0.25,0.87,150,150,0,,,,,,,
3132,AgriculturalLandWithNaturalVegetation,35.5,12.8,0.25,0.87,150,150,0,,,,,,,
314,Forest ,5,1.3,0.8,0.84,150,150,0,,,,,,,
315,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,
3151,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,
3152,ForestPlantation,5,1.3,0.8,0.84,150,150,0,,,,,,,
3211,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
32111,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
321111,Grassland,7.5,0.4,0.4,0.5,150,150,0,,,,,,,
321112,OpenSavanna,6,0.1,0.6,0.5,150,150,0,,,,,,,
321113,MoorAndHeathland,5,1.9,0.8,0.4,150,150,0,,,,,,,
32112,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
321121,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
321122,InlandMarsh,5,1.9,0.8,0.4,150,150,0,,,,,,,
321123,VegetatedStillWaterBody,0,0.6,0.02,0.05,150,150,0,,,,,,,
3212,SparseHerbaceousCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
32121,SparseHerbaceousCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
32122,SparseHerbaceousCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
3221,Shrubland,6,0.1,0.6,0.5,150,150,0,,,,,,,
3222,SparseShrubCover,6,0.6,0.3,0.05,150,150,0,,,,,,,
32221,SclerophyllousVegetation,6,0.1,0.6,0.5,150,150,0,,,,,,,
32222,MoorAndHeathland,6,0.1,0.6,0.5,150,150,0,,,,,,,
323,EarlySuccession Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,
3231,PoleSuccession Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,
3232,EarlySuccession Forest,5,1.3,0.8,0.84,150,150,0,,,,,,,
331,BeachDuneAndSand,0.01,0.6,0.05,0.05,150,150,0,,,,,,,
